epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,389.655,0.28618,0.2971,0.79318,0.96107,0.98328,0.99084,0.9504,0.29987,0.25297,0.77598,0.000401877,0.000401877,0.000401877
86,393.152,0.2883,0.29753,0.79267,0.95936,0.97904,0.9892,0.94863,0.30293,0.26117,0.77625,0.000400042,0.000400042,0.000400042
87,396.837,0.30025,0.3003,0.79772,0.9697,0.96839,0.98834,0.94345,0.31673,0.27065,0.77869,0.000398207,0.000398207,0.000398207
88,400.229,0.2762,0.29308,0.79625,0.9597,0.97553,0.98815,0.94951,0.29912,0.2696,0.77483,0.000396372,0.000396372,0.000396372
89,403.762,0.29158,0.31612,0.7979,0.98021,0.96356,0.98815,0.95206,0.30074,0.2632,0.77596,0.000394538,0.000394538,0.000394538
90,409.629,0.28007,0.29181,0.79749,0.98127,0.97072,0.98886,0.95249,0.30544,0.26008,0.7766,0.000392703,0.000392703,0.000392703
91,414.725,0.28585,0.29581,0.79473,0.98013,0.97382,0.98914,0.95254,0.29855,0.25829,0.77505,0.000390868,0.000390868,0.000390868
92,418.259,0.28242,0.29658,0.79457,0.96866,0.98301,0.98881,0.9434,0.31014,0.25847,0.77687,0.000389033,0.000389033,0.000389033
93,421.754,0.27921,0.29602,0.79782,0.96825,0.981,0.98928,0.9513,0.30358,0.25492,0.77575,0.000387198,0.000387198,0.000387198
94,425.317,0.27201,0.29082,0.79127,0.98185,0.97574,0.98953,0.95081,0.29407,0.24329,0.77404,0.000385364,0.000385364,0.000385364
95,428.998,0.26479,0.28242,0.78973,0.98259,0.98496,0.98981,0.94851,0.30402,0.23981,0.7756,0.000383529,0.000383529,0.000383529
96,432.522,0.26958,0.28534,0.79771,0.97448,0.98965,0.98989,0.9517,0.29534,0.23311,0.77474,0.000381694,0.000381694,0.000381694
97,436.155,0.25355,0.27079,0.78793,0.97766,0.98652,0.98986,0.95263,0.29112,0.24174,0.77417,0.000379859,0.000379859,0.000379859
98,439.939,0.26503,0.29406,0.79536,0.97415,0.98656,0.98975,0.95057,0.29585,0.25082,0.7754,0.000378024,0.000378024,0.000378024
99,443.764,0.25417,0.27659,0.79579,0.96596,0.98326,0.988,0.94273,0.31772,0.26613,0.78002,0.00037619,0.00037619,0.00037619
100,447.31,0.27056,0.2899,0.79465,0.97635,0.98319,0.99033,0.94687,0.30218,0.24809,0.77628,0.000374355,0.000374355,0.000374355
101,450.975,0.26876,0.29496,0.78749,0.98147,0.98724,0.99095,0.95115,0.30164,0.23985,0.77614,0.00037252,0.00037252,0.00037252
102,454.604,0.26851,0.28981,0.78664,0.98447,0.98734,0.99153,0.95113,0.30298,0.23393,0.77558,0.000370685,0.000370685,0.000370685
103,458.477,0.26838,0.30512,0.79877,0.98718,0.98654,0.99186,0.95158,0.29468,0.22566,0.77284,0.00036885,0.00036885,0.00036885
104,462.168,0.27585,0.29559,0.79714,0.98448,0.98494,0.99248,0.95393,0.30532,0.22854,0.77452,0.000367016,0.000367016,0.000367016
105,465.537,0.26367,0.28359,0.79499,0.98387,0.9825,0.99301,0.95651,0.30572,0.23069,0.77535,0.000365181,0.000365181,0.000365181
106,471.082,0.26954,0.29172,0.79516,0.98037,0.98514,0.99385,0.94829,0.30716,0.22298,0.77611,0.000363346,0.000363346,0.000363346
107,474.428,0.27886,0.30297,0.79311,0.98065,0.98705,0.99447,0.95255,0.3134,0.22327,0.77716,0.000361511,0.000361511,0.000361511
108,478.101,0.2686,0.29291,0.79634,0.97953,0.9878,0.9908,0.95313,0.29413,0.22494,0.77494,0.000359676,0.000359676,0.000359676
109,481.631,0.2676,0.30686,0.79741,0.97624,0.98583,0.99031,0.95293,0.29479,0.23037,0.77462,0.000357842,0.000357842,0.000357842
110,485.311,0.27907,0.29401,0.79128,0.97672,0.98479,0.99038,0.95032,0.30288,0.24186,0.77535,0.000356007,0.000356007,0.000356007
111,488.834,0.26064,0.27882,0.79306,0.97714,0.98501,0.99048,0.9474,0.31366,0.24313,0.77643,0.000354172,0.000354172,0.000354172
112,492.317,0.26189,0.27882,0.79238,0.97482,0.9801,0.99157,0.95316,0.29391,0.24583,0.77478,0.000352337,0.000352337,0.000352337
113,495.714,0.26345,0.28482,0.79256,0.96741,0.97892,0.99061,0.95054,0.30163,0.25372,0.77587,0.000350502,0.000350502,0.000350502
114,499.359,0.26663,0.28449,0.79633,0.96395,0.98077,0.98961,0.95428,0.30245,0.25888,0.77626,0.000348668,0.000348668,0.000348668
115,503.119,0.24332,0.27304,0.78901,0.96334,0.97658,0.98905,0.95336,0.29683,0.2551,0.77484,0.000346833,0.000346833,0.000346833
116,506.541,0.23815,0.26165,0.79291,0.97765,0.9608,0.99029,0.94739,0.31211,0.26135,0.77671,0.000344998,0.000344998,0.000344998
117,509.862,0.26055,0.27404,0.79457,0.9632,0.97691,0.9906,0.94991,0.31174,0.26207,0.77669,0.000343163,0.000343163,0.000343163
118,513.461,0.25719,0.27199,0.78947,0.97625,0.97824,0.99037,0.95071,0.30441,0.25082,0.77636,0.000341328,0.000341328,0.000341328
119,516.897,0.25222,0.27146,0.79061,0.97693,0.98539,0.99046,0.95271,0.29778,0.24,0.77568,0.000339494,0.000339494,0.000339494
120,520.31,0.25654,0.27841,0.79502,0.98158,0.98777,0.99085,0.94901,0.33027,0.23987,0.78195,0.000337659,0.000337659,0.000337659
121,523.835,0.24991,0.26917,0.79223,0.98285,0.98797,0.99123,0.95139,0.30537,0.23202,0.77864,0.000335824,0.000335824,0.000335824
122,527.307,0.25257,0.27732,0.79366,0.9811,0.98998,0.99084,0.95163,0.29326,0.23023,0.7764,0.000333989,0.000333989,0.000333989
123,530.865,0.24924,0.26681,0.7864,0.98229,0.98608,0.99065,0.95483,0.30124,0.22827,0.77641,0.000332154,0.000332154,0.000332154
124,534.532,0.24402,0.2661,0.788,0.98582,0.98391,0.99152,0.95609,0.29477,0.22562,0.77367,0.00033032,0.00033032,0.00033032
125,538.113,0.24488,0.27261,0.78618,0.9864,0.98413,0.99231,0.95658,0.29786,0.22135,0.77476,0.000328485,0.000328485,0.000328485
126,541.688,0.23685,0.25061,0.78563,0.98379,0.98848,0.99281,0.95708,0.29359,0.21278,0.77501,0.00032665,0.00032665,0.00032665
127,546.933,0.2468,0.26209,0.79869,0.98276,0.99268,0.99287,0.94791,0.3111,0.22282,0.77758,0.000324815,0.000324815,0.000324815
