epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,7684.26,0.24297,0.22565,0.79285,0.98392,0.98957,0.98768,0.95475,0.29325,0.21058,0.81143,0.000389033,0.000389033,0.000389033
93,7772.06,0.24,0.22231,0.79855,0.98069,0.9835,0.98865,0.95571,0.29653,0.23061,0.80995,0.000387198,0.000387198,0.000387198
94,7865.1,0.2247,0.21339,0.78696,0.9784,0.98074,0.98837,0.95526,0.29449,0.22033,0.80861,0.000385364,0.000385364,0.000385364
95,7949.11,0.21551,0.2036,0.78678,0.9764,0.98289,0.98773,0.95874,0.28305,0.21027,0.80711,0.000383529,0.000383529,0.000383529
96,8033.58,0.23196,0.22031,0.7956,0.97897,0.98581,0.988,0.96013,0.27494,0.21125,0.80434,0.000381694,0.000381694,0.000381694
97,8128.36,0.21359,0.21055,0.79033,0.975,0.97941,0.98718,0.95638,0.2878,0.21787,0.80902,0.000379859,0.000379859,0.000379859
98,8213.55,0.22882,0.21944,0.79442,0.97419,0.97102,0.98593,0.95347,0.27987,0.21845,0.80764,0.000378024,0.000378024,0.000378024
99,8296.03,0.21029,0.21463,0.79251,0.96499,0.97676,0.98644,0.95416,0.2827,0.22014,0.80786,0.00037619,0.00037619,0.00037619
100,8383.46,0.22515,0.22305,0.79301,0.96628,0.96778,0.98847,0.95595,0.27881,0.23364,0.80751,0.000374355,0.000374355,0.000374355
101,8512.1,0.22133,0.21322,0.78364,0.97541,0.96373,0.98843,0.95741,0.28042,0.23763,0.80843,0.00037252,0.00037252,0.00037252
102,8632.68,0.21866,0.21258,0.78421,0.96214,0.97726,0.98949,0.96154,0.27893,0.22112,0.80849,0.000370685,0.000370685,0.000370685
103,8735.91,0.23553,0.24305,0.80105,0.98417,0.98169,0.98663,0.95784,0.28312,0.20369,0.80874,0.00036885,0.00036885,0.00036885
104,8829.16,0.22912,0.22918,0.7942,0.98227,0.97855,0.9843,0.95306,0.28975,0.2088,0.80931,0.000367016,0.000367016,0.000367016
105,8947.87,0.2156,0.21135,0.79251,0.9823,0.97994,0.98508,0.95511,0.2861,0.20966,0.80887,0.000365181,0.000365181,0.000365181
106,9059.69,0.22631,0.22244,0.79895,0.97352,0.98376,0.9844,0.94662,0.31209,0.23312,0.8169,0.000363346,0.000363346,0.000363346
107,9164.81,0.23884,0.23497,0.79238,0.97823,0.98332,0.98367,0.94852,0.31028,0.23596,0.81643,0.000361511,0.000361511,0.000361511
108,9262.16,0.24025,0.22692,0.79411,0.98343,0.98333,0.98805,0.95468,0.28908,0.21377,0.80738,0.000359676,0.000359676,0.000359676
109,9373.13,0.22545,0.24635,0.79652,0.98168,0.98161,0.98827,0.95401,0.29273,0.20547,0.80973,0.000357842,0.000357842,0.000357842
110,9483.97,0.22653,0.21393,0.78766,0.98462,0.98727,0.98813,0.95104,0.29687,0.21821,0.81132,0.000356007,0.000356007,0.000356007
111,9597.55,0.22632,0.21647,0.7901,0.98251,0.98746,0.98679,0.94872,0.30694,0.23056,0.81281,0.000354172,0.000354172,0.000354172
112,9686.31,0.22382,0.23293,0.79532,0.98323,0.98715,0.98657,0.94571,0.29618,0.20759,0.81175,0.000352337,0.000352337,0.000352337
113,9792.6,0.21911,0.2139,0.7898,0.98218,0.98536,0.98673,0.94618,0.29203,0.21933,0.81106,0.000350502,0.000350502,0.000350502
114,9918.08,0.22351,0.21628,0.79447,0.97874,0.98089,0.9871,0.94873,0.30021,0.22983,0.81112,0.000348668,0.000348668,0.000348668
115,10015.7,0.2098,0.20419,0.78849,0.96823,0.98085,0.98674,0.94526,0.30392,0.22888,0.81371,0.000346833,0.000346833,0.000346833
116,10123,0.21076,0.21223,0.79143,0.97374,0.97922,0.98693,0.9502,0.28201,0.19782,0.80866,0.000344998,0.000344998,0.000344998
117,10231,0.21595,0.2038,0.79427,0.97728,0.98124,0.98724,0.9511,0.29077,0.20898,0.81015,0.000343163,0.000343163,0.000343163
118,10335.1,0.21797,0.21542,0.79095,0.97922,0.9789,0.98925,0.95243,0.29468,0.21903,0.81086,0.000341328,0.000341328,0.000341328
119,10437.9,0.21357,0.20509,0.79185,0.97796,0.9784,0.98768,0.94919,0.29895,0.2199,0.81096,0.000339494,0.000339494,0.000339494
120,10542.8,0.21211,0.21024,0.79524,0.97993,0.97801,0.98533,0.9452,0.30479,0.21426,0.81541,0.000337659,0.000337659,0.000337659
121,10661.3,0.21514,0.20707,0.79209,0.98026,0.98093,0.98663,0.94792,0.2982,0.20843,0.81428,0.000335824,0.000335824,0.000335824
122,10784.1,0.21492,0.20992,0.79556,0.97761,0.97972,0.98752,0.94947,0.29924,0.2113,0.81428,0.000333989,0.000333989,0.000333989
123,10901.2,0.21176,0.19493,0.78133,0.97037,0.97947,0.98804,0.95362,0.29621,0.21287,0.81335,0.000332154,0.000332154,0.000332154
124,11015.3,0.20863,0.1972,0.78551,0.96543,0.98244,0.98827,0.95825,0.28868,0.22224,0.80924,0.00033032,0.00033032,0.00033032
125,11125.9,0.21005,0.21041,0.78398,0.97273,0.9882,0.9882,0.95914,0.29211,0.22303,0.8102,0.000328485,0.000328485,0.000328485
126,11228,0.19983,0.19304,0.78234,0.97885,0.98345,0.98664,0.95404,0.29125,0.2223,0.81064,0.00032665,0.00032665,0.00032665
127,11334.8,0.21107,0.20137,0.79593,0.97685,0.9836,0.98684,0.95236,0.29366,0.22443,0.81028,0.000324815,0.000324815,0.000324815
128,11443.6,0.20946,0.19722,0.78509,0.96716,0.98411,0.98754,0.95373,0.28836,0.22526,0.81023,0.00032298,0.00032298,0.00032298
129,11550.9,0.21472,0.20647,0.78957,0.97887,0.96875,0.98644,0.95218,0.28876,0.21708,0.8095,0.000321146,0.000321146,0.000321146
130,11665.4,0.20888,0.20336,0.78874,0.96496,0.98138,0.98664,0.95526,0.29014,0.21642,0.80967,0.000319311,0.000319311,0.000319311
131,11768.8,0.20472,0.19636,0.79206,0.97188,0.98051,0.98757,0.95487,0.29479,0.2217,0.81167,0.000317476,0.000317476,0.000317476
132,11870.7,0.20492,0.18975,0.78416,0.97582,0.98247,0.98606,0.95485,0.28083,0.21408,0.80823,0.000315641,0.000315641,0.000315641
133,11967.9,0.19208,0.19847,0.78724,0.98079,0.97178,0.98819,0.95472,0.28757,0.21993,0.80965,0.000313806,0.000313806,0.000313806
134,12071.3,0.19731,0.19502,0.78784,0.97871,0.97136,0.9883,0.95394,0.28873,0.2351,0.81058,0.000311972,0.000311972,0.000311972
135,12178.5,0.19693,0.18997,0.78242,0.97639,0.96987,0.98775,0.95413,0.28765,0.24011,0.81186,0.000310137,0.000310137,0.000310137
136,12282.2,0.19017,0.18023,0.78539,0.97383,0.96486,0.98681,0.95124,0.2942,0.23332,0.81279,0.000308302,0.000308302,0.000308302
137,12379.7,0.19628,0.19323,0.78827,0.97763,0.96742,0.98715,0.95142,0.29248,0.22328,0.81143,0.000306467,0.000306467,0.000306467
138,12478.9,0.19996,0.19312,0.78432,0.98203,0.97175,0.98883,0.95491,0.28469,0.21001,0.80979,0.000304632,0.000304632,0.000304632
139,12572.4,0.19431,0.19595,0.78287,0.98212,0.96709,0.989,0.95756,0.28446,0.20541,0.80973,0.000302798,0.000302798,0.000302798
140,12679.6,0.20101,0.19704,0.78897,0.97163,0.98444,0.98876,0.95452,0.28394,0.2134,0.8101,0.000300963,0.000300963,0.000300963
141,12780.8,0.19442,0.19309,0.78924,0.97757,0.98,0.98879,0.95422,0.28857,0.21188,0.81103,0.000299128,0.000299128,0.000299128
142,12895.2,0.20134,0.19722,0.78847,0.98222,0.97878,0.98914,0.95383,0.29108,0.2141,0.81258,0.000297293,0.000297293,0.000297293
143,12987.8,0.19408,0.18748,0.7845,0.98187,0.97568,0.98948,0.95856,0.29224,0.21593,0.81445,0.000295458,0.000295458,0.000295458
144,13095.4,0.19344,0.19518,0.7848,0.98247,0.97629,0.9874,0.955,0.29305,0.2102,0.81337,0.000293624,0.000293624,0.000293624
145,13207,0.19003,0.19,0.78054,0.9826,0.97603,0.98615,0.95211,0.28795,0.21366,0.8108,0.000291789,0.000291789,0.000291789
146,13323.7,0.18906,0.19088,0.78329,0.98394,0.97681,0.984,0.95016,0.2874,0.20595,0.81205,0.000289954,0.000289954,0.000289954
147,13433,0.19237,0.19352,0.78844,0.98335,0.98218,0.98556,0.95291,0.28778,0.20189,0.81237,0.000288119,0.000288119,0.000288119
148,13544.7,0.17987,0.16956,0.78371,0.98277,0.98305,0.98658,0.95707,0.29305,0.20356,0.81293,0.000286284,0.000286284,0.000286284
149,13650.4,0.19553,0.19689,0.78752,0.98263,0.98354,0.98585,0.95411,0.2906,0.20921,0.81117,0.00028445,0.00028445,0.00028445
150,13778.1,0.18701,0.18296,0.78031,0.98064,0.98466,0.98605,0.95188,0.30101,0.21452,0.81191,0.000282615,0.000282615,0.000282615
151,13894.2,0.19722,0.19091,0.78032,0.98274,0.98617,0.98629,0.9557,0.28763,0.20507,0.80896,0.00028078,0.00028078,0.00028078
152,14001.5,0.19289,0.19136,0.78785,0.98389,0.97957,0.98753,0.95561,0.2841,0.20414,0.8112,0.000278945,0.000278945,0.000278945
153,14106.9,0.18673,0.19033,0.78309,0.97888,0.97967,0.98746,0.95451,0.29391,0.21249,0.81393,0.00027711,0.00027711,0.00027711
154,14228,0.19625,0.18841,0.78717,0.96657,0.98041,0.98722,0.95348,0.2961,0.21508,0.81403,0.000275276,0.000275276,0.000275276
155,14333,0.19524,0.19283,0.78622,0.97369,0.98036,0.9887,0.95616,0.29365,0.20467,0.81369,0.000273441,0.000273441,0.000273441
156,14448.6,0.19766,0.17872,0.78575,0.98455,0.97612,0.98853,0.95726,0.28914,0.21075,0.81095,0.000271606,0.000271606,0.000271606
157,14547.1,0.19526,0.17517,0.7781,0.98078,0.9807,0.98904,0.96034,0.28184,0.20352,0.80978,0.000269771,0.000269771,0.000269771
158,14653.2,0.19595,0.17914,0.78636,0.97698,0.98345,0.98836,0.95554,0.29332,0.19845,0.81409,0.000267936,0.000267936,0.000267936
159,14756.6,0.19152,0.18552,0.78905,0.98163,0.98282,0.98833,0.95405,0.29388,0.19637,0.8144,0.000266102,0.000266102,0.000266102
160,14856.7,0.18328,0.18659,0.78785,0.98205,0.98517,0.98825,0.95744,0.28744,0.195,0.81006,0.000264267,0.000264267,0.000264267
161,14964.1,0.18728,0.19294,0.78775,0.98117,0.98559,0.9876,0.95334,0.29012,0.19982,0.81112,0.000262432,0.000262432,0.000262432
162,15073.9,0.17974,0.17397,0.78334,0.98213,0.98222,0.98762,0.95361,0.29619,0.20621,0.81238,0.000260597,0.000260597,0.000260597
163,15179.2,0.19273,0.1691,0.78265,0.98141,0.98168,0.98809,0.95577,0.2941,0.20593,0.81136,0.000258762,0.000258762,0.000258762
164,15285.4,0.17753,0.17035,0.77599,0.98357,0.97708,0.98639,0.95254,0.28663,0.20825,0.80935,0.000256928,0.000256928,0.000256928
165,15392.6,0.18464,0.18114,0.78842,0.98311,0.97768,0.98625,0.95307,0.28891,0.20894,0.81021,0.000255093,0.000255093,0.000255093
166,15503.8,0.18553,0.17215,0.78038,0.98256,0.97693,0.98726,0.95479,0.28202,0.21026,0.80813,0.000253258,0.000253258,0.000253258
167,15604.7,0.17108,0.18052,0.79091,0.98135,0.98062,0.98758,0.95576,0.27875,0.21264,0.80764,0.000251423,0.000251423,0.000251423
168,15706.1,0.17436,0.16993,0.78517,0.9838,0.98164,0.98726,0.9571,0.28641,0.21471,0.80914,0.000249588,0.000249588,0.000249588
169,15818.3,0.17829,0.18524,0.7848,0.98447,0.98506,0.98622,0.9544,0.28246,0.20603,0.80892,0.000247754,0.000247754,0.000247754
170,15927.9,0.17149,0.16909,0.7803,0.98744,0.98635,0.98627,0.95672,0.28605,0.20137,0.8087,0.000245919,0.000245919,0.000245919
171,16038.1,0.17058,0.16975,0.78113,0.98676,0.98755,0.98584,0.95178,0.29234,0.20289,0.80974,0.000244084,0.000244084,0.000244084
172,16150.8,0.17076,0.16399,0.77806,0.98594,0.98808,0.9869,0.95406,0.2874,0.20386,0.81059,0.000242249,0.000242249,0.000242249
173,16267,0.17985,0.17998,0.7796,0.9863,0.98771,0.98866,0.95554,0.29048,0.20507,0.81146,0.000240414,0.000240414,0.000240414
174,16380.1,0.17584,0.17373,0.78135,0.98619,0.98702,0.98806,0.95405,0.29753,0.20712,0.8118,0.00023858,0.00023858,0.00023858
175,16475.6,0.17379,0.1782,0.7805,0.98453,0.98758,0.98659,0.95391,0.29442,0.20732,0.8107,0.000236745,0.000236745,0.000236745
176,16573.7,0.18162,0.17763,0.78475,0.9841,0.98566,0.98544,0.9533,0.28457,0.19952,0.81084,0.00023491,0.00023491,0.00023491
177,16687.7,0.18184,0.17148,0.78073,0.98555,0.98554,0.9874,0.95889,0.28251,0.19558,0.80978,0.000233075,0.000233075,0.000233075
178,16802.6,0.16663,0.16995,0.7822,0.98517,0.98616,0.98725,0.95951,0.28094,0.19106,0.80942,0.00023124,0.00023124,0.00023124
179,16908.1,0.17437,0.16535,0.7789,0.98508,0.98449,0.98748,0.95751,0.28381,0.18887,0.8107,0.000229406,0.000229406,0.000229406
